epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9914,1.60078,3.37538,2.15251,0.0034,1,0.18475,0.06157,1.61285,4.2359,2.75405,7.145e-05,7.145e-05,7.145e-05
2,40.1984,1.44888,3.31424,1.97067,0.00408,1,0.19621,0.06036,1.73213,4.22484,3.07838,0.000155634,0.000155634,0.000155634
3,60.511,1.26723,3.19163,1.82546,0.00647,1,0.33083,0.1262,1.49328,4.28998,2.95244,0.00023812,0.00023812,0.00023812
4,80.1837,1.1871,3.00318,1.72411,0.0121,1,0.35305,0.13798,1.39173,4.32999,2.84537,0.000318909,0.000318909,0.000318909
5,99.9702,1.25138,2.93238,1.76404,0.00815,0.88889,0.2856,0.12577,1.43843,4.40881,2.54392,0.000397999,0.000397999,0.000397999
6,119.527,1.22087,2.82497,1.6998,0.00653,0.88889,0.31601,0.14627,1.6812,4.50839,2.78286,0.000475393,0.000475393,0.000475393
7,139.49,1.27962,2.68593,1.74245,0.00424,0.58333,0.25304,0.07035,2.20475,4.61271,3.34323,0.000551088,0.000551088,0.000551088
8,159.265,1.18487,2.51878,1.67533,0.00348,0.88889,0.40646,0.10877,2.06282,4.52062,3.08101,0.000625086,0.000625086,0.000625086
9,178.767,1.24905,2.42654,1.74878,0.00317,0.88889,0.38818,0.11976,2.20076,4.42645,4.03863,0.000697386,0.000697386,0.000697386
10,197.47,1.30439,2.20027,1.72767,0.00278,0.72222,0.24026,0.07777,2.68172,4.54366,4.74284,0.000767989,0.000767989,0.000767989
11,216.812,1.25854,2.22913,1.67629,0.00288,0.80556,0.44464,0.14683,2.66824,4.23305,4.86047,0.000836894,0.000836894,0.000836894
