epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.054,1.27594,3.23195,1.86148,0,0,0,0,0,166.8,0,0.00017148,0.00017148,0.00017148
2,260.832,1.05139,2.93873,1.66053,0,0,0,0,0,167.865,0,0.000353713,0.000353713,0.000353713
3,386.83,1.11335,2.69733,1.64427,0,0,0,0,0,165.87,0,0.000532268,0.000532268,0.000532268
4,509.824,1.16534,2.31074,1.66896,0,0,0,0,0,165.09,0,0.000707145,0.000707145,0.000707145
5,633.328,1.2661,2.18242,1.78167,0,0,0,0,0,163.092,0,0.000878343,0.000878343,0.000878343
6,756.142,1.23966,2.11102,1.72414,0,0,0,0,0,171.357,0,0.00104586,0.00104586,0.00104586
7,879.533,1.29106,2.0349,1.74878,0,0,0,0,0,181.131,0,0.00120971,0.00120971,0.00120971
8,984.1,1.19291,1.91552,1.70103,0,0,0,0,0,188.258,0,0.00132997,0.00132997,0.00132997
9,1027.45,1.23723,1.83563,1.6884,0,0,0,0,0,196.393,0,0.00131582,0.00131582,0.00131582
10,1070.91,1.24408,1.83797,1.75894,0,0,0,0,0,194.504,0,0.00130168,0.00130168,0.00130168
11,1113.9,1.18579,1.71312,1.66761,0,0,0,0,0,151.466,0,0.00128753,0.00128753,0.00128753
12,1157.12,1.17467,1.72429,1.67628,0,0,0,0,0,188.614,0,0.00127338,0.00127338,0.00127338
13,1198.87,1.27828,1.73731,1.69328,0,0,0,0,0,170.417,0,0.00125923,0.00125923,0.00125923
14,1242.14,1.22382,1.71302,1.71854,0,0,0,0,0,160.516,0,0.00124509,0.00124509,0.00124509
15,1285.72,1.26778,1.73577,1.72166,0,0,0,0,0,139.856,0,0.00123094,0.00123094,0.00123094
16,1329.1,1.15147,1.55951,1.61057,0,0,0,0,0,174.251,0,0.00121679,0.00121679,0.00121679
17,1372.02,1.12413,1.5562,1.60066,0,0,0,0,0,204.602,0,0.00120265,0.00120265,0.00120265
18,1415.34,1.11344,1.56902,1.59929,0,0,0,0,0,153.043,0,0.0011885,0.0011885,0.0011885
19,1459.19,1.17077,1.5842,1.6826,0,0,0,0,0,154.608,0,0.00117435,0.00117435,0.00117435
20,1501.06,1.12473,1.50163,1.62194,0,0,0,0,0,133.695,0,0.00116021,0.00116021,0.00116021
21,1543.14,1.12125,1.41972,1.63097,0,0,0,0,0,124.223,0,0.00114606,0.00114606,0.00114606
22,1585.06,1.12721,1.45227,1.64108,0,0,0,0,0,155.221,0,0.00113191,0.00113191,0.00113191
23,1626.49,1.13351,1.3465,1.63518,0,0,0,0,0,121.418,0,0.00111776,0.00111776,0.00111776
24,1668.15,1.11129,1.32496,1.60412,0,0,0,0,0,197.63,0,0.00110362,0.00110362,0.00110362
25,1709.73,1.01538,1.31865,1.53787,0,0,0,0,0,183.349,0,0.00108947,0.00108947,0.00108947
26,1752.99,1.12944,1.33735,1.61457,0,0,0,0,0,192.929,0,0.00107532,0.00107532,0.00107532
